KODE_BARANG,nama_barang,STOK,SATUAN,LOKASI,LAST_UPDATE
ASPEX0203388,HEATER ADAPTOR KOTAK 280X240X ,3,SET,rak 150,13/01/2026
ASPEX0203390,HEATER ADAPTOR KOTAK 300X240 ,9,SET,rak 151,13/01/2026
ASPEX0203391,HEATER ADAPTOR KOTAK 300X280X ,1,SET,rak 152,13/01/2026
ASPEX0203409,HEATER DIES KOTAK 235X210X20 ,3,SET,rak 153,13/01/2026
ASPEX0203411,HEATER DIES KOTAK 240X250X20 ,16,SET,rak 154,13/01/2026
ASPEX0203412,HEATER DIES KOTAK 240X250X20 220V ,9,PCS,rak 155,13/01/2026
ASPEX0203413,HEATER DIES KOTAK 245X220X20 ,4,PCS,rak 156,13/01/2026
ASPEX0203414,HEATER DIES KOTAK 250X240X20 ,15,PCS,rak 157,13/01/2026
ASPEX0203415,HEATER DIES KOTAK 255X245X20 ,19,PCS,rak 158,13/01/2026
ASPEX0203416,HEATER DIES KOTAK 255X250X19 ,4,SET,rak 159,13/01/2026
ASPEX0203417,HEATER DIES KOTAK 260X200X20 ,2,PCS,rak 160,13/01/2026
ASPEX0203418,HEATER DIES KOTAK 265X250X20 ,3,PCS,rak 161,13/01/2026
ASPEX0203419,HEATER DIES KOTAK 270X250X20 ,10,PCS,rak 162,13/01/2026
ASPEX0203423,HEATER HU2 UX-D 451966 INKJET ,2,PCS,rak 163,13/01/2026
ASPEX0203474,HOLE SAW 22 MM ,3,PCS,rak 164,13/01/2026
ASPEX0203484,HOLE SAW 60 MM ,3,PCS,rak 165,13/01/2026
ASPEX0203499,HOPPER FEEDER OF EXTRUDER SJZ ,10,SET,rak 166,13/01/2026
ASPEX0203549,IMPELLER 100X65-250 SOUTHERN ,1,PCS,rak 167,13/01/2026
ASPEX0203552,IMPELLER POMPA PSGD 003 ,1,SET,rak 168,13/01/2026
ASPEX0203558,INDUCTIVE SENSOR PRL18-8AO ,5,PCS,rak 169,13/01/2026
ASPEX0203564,INK FILTER UX (451867-451487- ,1,SET,rak 170,13/01/2026
ASPEX0203573,INVERTER ABB ACS510 1.5 KW ,2,SET,rak 171,13/01/2026
ASPEX0203574,INVERTER ABB ACS-580-01 480VAC ,1,UNIT,rak 172,13/01/2026
ASPEX0203605,ISOLASI NETTO BIRU ,29,PCS,rak 173,13/01/2026
ASPEX0203609,ISOLASI NETTO KUNING ,28,PCS,rak 174,13/01/2026
ASPEX0203612,ISOLASI NETTO MERAH ,28,PCS,rak 175,13/01/2026
ASPEX0203654,JOINT COUPLE ,4,PCS,rak 176,13/01/2026
ASPEX0203672,KABEL HEATER 2.5 MM ,300,MTR,rak 177,13/01/2026
ASPEX0203674,KABEL HEATER 4 MM ,300,MTR,rak 178,13/01/2026
ASPEX0203855,KABEL RS-485 TO RS-485 ,3,SET,rak 179,13/01/2026
ASPEX0203866,KABEL TIES 100 ,5,PACK,rak 180,13/01/2026
ASPEX0203872,KABEL TIES 150 ,17,PACK,rak 181,13/01/2026
ASPEX0203878,KABEL TIES 200 ,17,PACK,rak 182,13/01/2026
ASPEX0203891,KACA CERMIN 30 X 90 CM ,5,PCS,rak 183,13/01/2026
ASPEX0203971,KAPEK GAGANG 2` ,3,PCS,rak 184,13/01/2026
ASPEX0204036,KAWAT KUNINGAN ,17,Btg,rak 185,13/01/2026
ASPEX0204075,KAWAT LAS RB.26-2.6MM ,3,Pack,rak 186,13/01/2026
ASPEX0204091,KAWAT LAS SS NC-38-2.6MM ,7,Pack,rak 187,13/01/2026
ASPEX0204097,KAWAT LAS TEMBAGA ,15,PCS,rak 188,13/01/2026
ASPEX0204122,KEDOK LAS ,4,PCS,rak 189,13/01/2026
ASPEX0204159,KIKIR - NEEDLE FILES ,2,SET,rak 190,13/01/2026
ASPEX0204179,KIKIR SEGI TIGA 5 MM ,1,Pcs,rak 191,13/01/2026
ASPEX0204220,KLEM AH 26-31 ,3,LUSIN,rak 192,13/01/2026
